years_experience,education_level,certifications,salary_lpa
11.8,2,5,37.8
7.1,3,0,22.2
13.0,2,2,32.0
10.8,2,4,32.0
2.3,3,2,15.5
14.7,2,2,40.1
11.7,1,0,28.6
12.0,3,2,35.2
2.8,2,1,15.5
7.3,2,1,19.2
6.2,2,4,21.1
14.0,2,3,35.1
10.0,1,3,25.7
12.5,2,2,30.2
7.2,3,5,29.2
4.2,1,0,11.5
8.8,2,2,22.7
1.9,1,0,5.3
12.6,2,2,33.8
9.8,2,5,32.3
11.6,3,2,37.7
6.0,1,5,26.3
14.6,1,2,35.5
13.5,2,4,35.0
11.9,3,2,30.0
3.7,3,1,17.4
7.5,1,4,20.9
1.6,1,5,10.9
3.2,3,1,14.7
10.6,1,4,28.4
11.4,3,1,34.4
14.5,1,4,36.8
5.6,3,4,23.4
6.2,1,2,15.8
7.6,2,4,21.9
3.7,2,1,13.4
2.8,1,0,9.0
7.7,2,0,24.9
4.2,2,2,16.7
10.4,3,5,36.3
7.1,3,0,21.7
12.7,2,2,31.0
10.8,2,4,29.7
5.4,2,1,16.3
12.7,2,4,39.7
12.3,3,1,32.5
6.4,1,4,22.0
5.0,1,3,14.7
10.6,2,3,32.1
3.0,1,1,11.3
3.8,1,2,12.8
1.1,1,5,10.6
12.0,3,0,31.2
10.3,3,4,34.0
10.9,3,2,31.4
11.9,2,4,31.3
7.4,3,3,23.7
9.0,1,2,23.8
3.0,3,1,18.7
2.6,2,3,14.5
